date,open,close,high,low,volume,amount
2023-01-03,3864.836,3887.899,3893.99,3831.245,11505187500,0
2023-01-04,3886.25,3892.948,3905.903,3873.655,11066074300,0
2023-01-05,3913.493,3968.578,3974.875,3912.26,11650239500,0
2023-01-06,3969.549,3980.889,4000.414,3966.47,11095303800,0
2023-01-09,3998.528,4013.12,4023.09,3990.707,11705442500,0
2023-01-10,4014.713,4017.474,4030.457,4002.23,10175114100,0
2023-01-11,4019.884,4010.031,4043.399,4008.015,9999788900,0
2023-01-12,4021.755,4017.869,4030.288,4003.508,9055262700,0
2023-01-13,4032.291,4074.377,4074.377,4027.886,9587189600,0
2023-01-16,4077.879,4137.964,4177.104,4076.639,15139545500,0
2023-01-17,4138.843,4137.242,4148.584,4118.157,9547904000,0
2023-01-18,4140.102,4130.314,4151.458,4125.769,8420064500,0
2023-01-19,4125.577,4156.008,4156.008,4105.98,9460839800,0
2023-01-20,4166.844,4181.527,4189.831,4161.67,12355380900,0
2023-01-30,4267.625,4201.345,4268.152,4197.86,16460706400,0
2023-01-31,4200.581,4156.858,4212.735,4153.048,12455083500,0
2023-02-01,4170.132,4195.933,4195.933,4137.766,14100895400,0
2023-02-02,4207.412,4181.149,4207.412,4170.557,13382373600,0
2023-02-03,4162.026,4141.632,4162.026,4103.165,11704122100,0
2023-02-06,4103.831,4086.878,4105.945,4065.222,11019271700,0
2023-02-07,4098.312,4094.234,4107.344,4077.962,9136007200,0
2023-02-08,4099.857,4076.141,4111.475,4072.647,8478609900,0
2023-02-09,4067.563,4130.857,4130.857,4064.749,10228996100,0
2023-02-10,4124.099,4106.31,4125.289,4092.347,9671673300,0
2023-02-13,4098.88,4143.574,4146.45,4092.273,12889257700,0
2023-02-14,4151.247,4145.29,4152.049,4125.258,10249989000,0
2023-02-15,4146.855,4123.689,4153.716,4115.967,12166450800,0
2023-02-16,4125.409,4093.488,4167.9,4068.859,15931058500,0
2023-02-17,4086.224,4034.507,4104.64,4032.929,11614258900,0
2023-02-20,4039.962,4133.49,4134.862,4035.476,16179448100,0
2023-02-21,4130.063,4144.354,4151.799,4116.272,14577617300,0
2023-02-22,4118.967,4106.951,4134.876,4101.86,10429029500,0
2023-02-23,4106.214,4103.646,4132.39,4088.207,10356490600,0
2023-02-24,4100.99,4061.046,4102.609,4048.237,10098942500,0
2023-02-27,4040.457,4043.844,4067.03,4034.524,9378763000,0
2023-02-28,4058.13,4069.459,4074.264,4026.448,11032359100,0
2023-03-01,4068.733,4126.942,4135.481,4061.217,15601579400,0
2023-03-02,4119.992,4117.738,4137.253,4113.826,14821763700,0
2023-03-03,4126.018,4130.551,4135.212,4100.383,16033174100,0
2023-03-06,4131.153,4109.01,4132.837,4088.448,16297180700,0
2023-03-07,4103.642,4048.852,4124.961,4046.568,19591206800,0
2023-03-08,4030.739,4034.108,4037.287,4011.523,11793649300,0
2023-03-09,4035.843,4019.851,4043.849,4000.89,11653962900,0
2023-03-10,3991.796,3967.135,4004.361,3966.428,12385540900,0
2023-03-13,3962.643,4008.686,4008.686,3962.643,14356137000,0
2023-03-14,3999.88,3984.696,4001.942,3946.941,15054417400,0
2023-03-15,4011.844,3986.902,4018.75,3986.902,14202600700,0
2023-03-16,3958.196,3939.151,3981.321,3936.476,15251564400,0
2023-03-17,3971.159,3958.819,4004.215,3945.25,17743381800,0
2023-03-20,3962.663,3939.077,3979.549,3935.016,20526497000,0
2023-03-21,3948.157,3982.378,3982.705,3948.157,14509067900,0
2023-03-22,3993.785,3999.443,4016.45,3986.709,14922897000,0
2023-03-23,3985.993,4039.09,4039.09,3983.999,15888742100,0
2023-03-24,4035.156,4027.046,4037.842,4017.003,15944233000,0
2023-03-27,4023.303,4012.477,4023.303,3987.03,16848227900,0
2023-03-28,4015.697,3999.515,4023.783,3994.6,13189511700,0
2023-03-29,4013.593,4006.144,4017.757,3992.666,13374351000,0
2023-03-30,4009.557,4038.526,4040.502,3983.896,14990103700,0
2023-03-31,4045.454,4050.926,4063.568,4039.959,13884254600,0
2023-04-03,4059.623,4090.568,4094.938,4059.061,18212431300,0
2023-04-04,4089.293,4103.105,4103.158,4080.068,19714663100,0
2023-04-06,4084.132,4096.64,4098.833,4078.405,15070337400,0
2023-04-07,4096.901,4123.28,4131.313,4092.185,12867673800,0
2023-04-10,4132.01,4104.812,4132.295,4099.052,15245300200,0
2023-04-11,4108.506,4100.148,4116.125,4083.495,15390133300,0
2023-04-12,4102.397,4097.288,4108.245,4090.278,16596527800,0
2023-04-13,4081.387,4068.979,4088.881,4059.574,15644429500,0
2023-04-14,4078.97,4091.999,4098.215,4075.205,15069568200,0
2023-04-17,4090.072,4149.384,4149.384,4089.509,18877309500,0
2023-04-18,4139.309,4162.032,4169.668,4138.462,17018413000,0
2023-04-19,4159.394,4124.559,4159.394,4118.626,16255459200,0
2023-04-20,4122.946,4113.019,4125.823,4094.002,16270667700,0
2023-04-21,4114.264,4032.567,4114.264,4031.912,18080243500,0
2023-04-24,4031.303,3982.643,4033.637,3967.907,17009921700,0
2023-04-25,3985.106,3962.666,3991.687,3925.436,17255540900,0
